id,time_with_company,promotion_received,race,score_text,gender,new_projects,decile_score,left_company
265,28,1,Non-Minority,Medium,Female,6,6,1
268,78,1,Minority,Low,Female,1,1,1
269,56,0,Minority,Low,Female,0,1,0
275,22,0,Non-Minority,Medium,Female,1,5,1
277,47,1,Non-Minority,High,Female,23,8,1
278,23,1,Non-Minority,Low,Female,0,2,1
281,66,0,Non-Minority,Low,Female,3,1,0
282,45,1,Minority,Low,Female,8,4,1
287,37,1,Non-Minority,High,Female,2,9,1
288,39,0,Minority,Low,Female,0,4,1
289,26,0,Non-Minority,High,Female,9,9,1
291,45,0,Minority,Low,Female,2,3,0
293,23,0,Non-Minority,Low,Female,0,3,1
294,34,1,Non-Minority,Low,Female,2,2,0
297,23,1,Non-Minority,Low,Male,1,4,0
299,50,0,Minority,Low,Female,1,1,0
300,37,1,Minority,Low,Male,0,3,0
301,44,1,Minority,Low,Female,4,4,0
302,35,0,Non-Minority,High,Male,23,9,1
306,26,0,Non-Minority,High,Female,2,10,1
308,27,1,Non-Minority,Low,Female,0,2,0
310,28,0,Non-Minority,High,Male,0,8,0
313,28,0,Minority,High,Male,7,9,1
315,38,0,Non-Minority,Low,Female,2,1,0
317,28,0,Non-Minority,High,Male,1,9,0
319,56,0,Minority,Low,Female,7,1,1
320,38,0,Non-Minority,High,Female,15,9,0
321,28,1,Non-Minority,Medium,Female,2,5,0
326,51,1,Minority,Low,Male,0,1,1
327,51,1,Minority,Low,Female,0,2,0
330,48,0,Non-Minority,Low,Female,0,1,0
331,37,0,Minority,Low,Female,4,3,1
332,30,0,Non-Minority,Medium,Male,2,7,0
333,41,1,Non-Minority,Medium,Male,5,6,0
334,27,0,Non-Minority,High,Female,11,10,1
335,37,1,Non-Minority,Low,Female,0,1,0
337,54,0,Non-Minority,High,Female,11,9,0
338,23,0,Non-Minority,High,Female,2,9,0
344,41,1,Non-Minority,Low,Female,0,1,0
345,52,0,Minority,Low,Female,0,1,0
347,43,0,Minority,Low,Female,13,4,1
348,52,0,Non-Minority,Low,Female,0,4,0
349,28,0,Minority,Low,Female,1,1,0
350,30,1,Non-Minority,High,Female,11,9,1
351,28,0,Minority,Medium,Female,1,5,0
354,22,0,Non-Minority,Low,Female,0,4,0
355,30,0,Non-Minority,Low,Female,4,2,0
357,31,0,Minority,High,Female,0,8,1
358,37,0,Minority,Low,Female,0,2,1
359,32,0,Non-Minority,High,Female,14,9,0
361,53,1,Minority,Low,Female,1,1,0
362,28,0,Non-Minority,High,Female,25,8,1
363,44,1,Minority,Medium,Female,8,5,1
364,25,0,Non-Minority,Low,Female,0,3,0
366,22,1,Minority,High,Female,1,8,1
382,23,0,Minority,Medium,Male,5,5,1
384,29,1,Non-Minority,Low,Female,1,3,0
385,20,0,Non-Minority,High,Female,1,8,1
386,30,0,Non-Minority,Medium,Female,2,6,1
390,27,0,Non-Minority,Low,Female,4,4,0
393,37,0,Non-Minority,Low,Male,2,1,0
396,20,0,Non-Minority,High,Female,0,8,0
399,52,0,Non-Minority,Low,Male,0,1,0
400,23,0,Non-Minority,Low,Male,0,4,1
402,48,0,Non-Minority,Low,Male,0,2,0
404,25,0,Minority,Medium,Female,0,5,0
405,27,0,Minority,Medium,Female,0,6,1
406,30,0,Non-Minority,Medium,Female,11,7,1
407,22,1,Non-Minority,High,Female,3,10,1
408,22,0,Minority,Low,Male,1,3,0
411,41,1,Non-Minority,Low,Male,2,3,0
416,52,0,Non-Minority,Medium,Female,3,6,1
417,43,0,Non-Minority,Low,Female,0,1,0
423,37,0,Minority,Low,Female,3,1,0
425,70,1,Minority,Low,Female,1,1,0
428,46,0,Minority,Low,Female,3,4,0
429,21,1,Non-Minority,High,Female,0,9,1
430,26,1,Non-Minority,High,Female,1,8,1
432,34,1,Minority,Low,Female,5,4,0
435,34,1,Non-Minority,Low,Female,5,4,0
437,23,0,Minority,Medium,Female,0,5,1
438,34,0,Non-Minority,Low,Female,5,4,1
440,39,0,Non-Minority,Low,Female,6,3,1
445,58,0,Minority,Low,Female,2,3,0
446,21,1,Non-Minority,Medium,Male,0,6,0
451,23,1,Non-Minority,High,Female,4,8,1
452,62,0,Minority,Low,Female,0,1,0
456,37,0,Minority,Low,Female,5,3,0
459,32,0,Non-Minority,Low,Male,5,1,0
462,27,1,Non-Minority,Low,Female,0,1,0
463,44,1,Minority,Low,Female,0,1,1
464,28,1,Minority,Low,Female,3,3,1
465,42,0,Minority,Low,Male,0,2,0
468,27,0,Non-Minority,Low,Female,0,2,0
469,20,0,Non-Minority,High,Female,0,10,1
474,51,1,Minority,Low,Male,0,1,0
475,56,1,Minority,Low,Female,0,1,0
478,29,0,Non-Minority,High,Female,7,9,0
480,20,0,Non-Minority,High,Female,0,9,1
484,27,0,Minority,Medium,Female,8,5,0
485,24,0,Non-Minority,High,Female,2,9,1
487,53,0,Minority,Medium,Female,36,6,1
489,28,1,Minority,Low,Female,2,3,1
495,36,0,Non-Minority,Medium,Male,0,7,0
496,25,1,Minority,Low,Male,2,4,1
499,28,0,Minority,Medium,Female,1,5,0
500,21,0,Non-Minority,High,Male,0,8,1
501,36,1,Minority,Low,Female,0,3,0
502,24,0,Non-Minority,Low,Female,0,3,0
505,29,0,Non-Minority,Low,Female,0,1,0
509,30,1,Minority,Medium,Male,0,6,0
516,32,0,Non-Minority,High,Female,12,9,1
517,23,0,Non-Minority,Medium,Female,1,6,0
518,47,0,Non-Minority,Low,Female,3,3,0
522,37,0,Minority,Low,Female,0,1,0
523,19,0,Non-Minority,High,Female,2,10,1
526,21,0,Minority,Medium,Male,0,6,0
527,69,1,Minority,Low,Female,0,1,0
530,21,0,Minority,Medium,Female,2,6,0
531,26,1,Non-Minority,High,Female,6,10,1
532,22,0,Minority,Low,Female,0,4,0
533,23,0,Non-Minority,Medium,Male,0,5,1
537,49,0,Non-Minority,Medium,Female,3,5,0
538,29,1,Non-Minority,Low,Female,2,4,0
540,60,1,Minority,Low,Male,0,1,0
542,23,0,Non-Minority,High,Female,3,10,1
547,30,0,Minority,Low,Female,0,4,0
548,21,0,Non-Minority,Low,Female,1,3,0
552,22,1,Minority,Medium,Female,2,6,1
557,21,0,Non-Minority,High,Female,4,9,1
558,21,0,Non-Minority,Medium,Female,0,5,1
561,34,1,Minority,Low,Female,1,1,0
563,50,1,Minority,Low,Male,1,1,1
565,40,0,Minority,Medium,Female,0,7,1
566,25,0,Non-Minority,High,Female,7,8,1
567,53,1,Minority,Low,Male,1,1,0
569,24,0,Non-Minority,Low,Male,0,4,0
572,42,0,Non-Minority,Low,Female,1,1,0
573,28,1,Non-Minority,Low,Female,1,3,0
576,26,0,Non-Minority,High,Female,6,8,1
579,22,0,Non-Minority,High,Female,4,9,1
580,21,1,Minority,Medium,Female,3,7,0
581,37,0,Non-Minority,High,Female,23,9,1
584,35,0,Non-Minority,Medium,Female,2,5,0
586,53,0,Non-Minority,Low,Female,2,1,0
588,29,0,Non-Minority,Low,Female,7,4,0
590,48,0,Minority,High,Female,23,8,1
594,52,1,Minority,Low,Male,0,1,0
597,27,0,Non-Minority,High,Female,12,8,1
598,28,0,Non-Minority,High,Female,5,9,0
599,33,1,Minority,Low,Female,3,3,0
602,36,0,Non-Minority,Medium,Female,14,7,1
603,29,0,Non-Minority,Medium,Female,2,5,0
604,22,1,Non-Minority,High,Female,0,9,1
608,25,0,Minority,Low,Female,0,2,0
611,56,0,Non-Minority,Low,Female,5,3,0
612,27,0,Non-Minority,High,Female,9,8,1
613,52,0,Minority,Low,Female,4,1,1
616,32,0,Non-Minority,Low,Female,3,2,0
622,39,1,Minority,Medium,Male,0,6,0
623,56,1,Minority,Low,Female,0,1,0
624,22,0,Non-Minority,Medium,Male,0,7,0
627,53,0,Non-Minority,Medium,Female,11,6,0
628,25,1,Minority,Low,Female,0,2,1
630,22,0,Minority,Low,Female,0,3,0
633,58,1,Minority,Low,Male,2,1,0
635,31,1,Non-Minority,Low,Female,7,3,1
637,22,0,Minority,Medium,Female,1,5,1
638,28,0,Non-Minority,Medium,Female,8,6,1
640,20,0,Non-Minority,Medium,Female,0,7,1
641,29,1,Minority,Medium,Female,0,6,1
644,58,1,Non-Minority,Medium,Female,21,7,1
645,22,0,Non-Minority,Medium,Female,3,7,0
647,37,0,Minority,Low,Female,0,4,0
648,57,0,Non-Minority,Medium,Female,1,5,1
649,27,1,Minority,Low,Female,3,1,0
651,26,0,Non-Minority,Low,Female,3,4,0
653,24,0,Minority,High,Female,3,8,1
654,33,0,Minority,Low,Female,0,1,0
656,29,0,Non-Minority,Medium,Female,2,6,0
657,24,0,Non-Minority,High,Male,3,10,1
659,19,0,Minority,High,Female,1,10,1
660,36,1,Minority,Low,Female,2,1,0
662,24,0,Minority,Medium,Male,0,5,0
664,34,1,Minority,Low,Female,0,1,0
669,20,0,Non-Minority,High,Female,1,10,1
674,24,1,Non-Minority,Low,Female,1,2,1
675,61,0,Minority,Low,Female,4,1,0
678,50,0,Non-Minority,Low,Male,3,2,0
679,30,1,Non-Minority,Low,Female,1,1,0
680,38,0,Non-Minority,Low,Female,5,3,0
681,24,1,Minority,Low,Female,0,1,0
685,46,0,Non-Minority,High,Male,2,10,1
686,41,1,Minority,Low,Female,0,1,1
688,27,1,Non-Minority,High,Female,13,8,1
691,26,1,Non-Minority,Medium,Female,1,6,1
692,29,0,Non-Minority,Medium,Female,3,5,1
693,52,0,Minority,Medium,Female,6,5,1
694,28,0,Minority,Low,Female,1,4,1
697,55,0,Non-Minority,Low,Female,5,3,1
700,26,0,Non-Minority,High,Female,10,9,1
701,28,0,Non-Minority,High,Female,5,10,0
703,63,0,Minority,Low,Female,2,1,0
704,42,0,Non-Minority,Low,Female,0,1,0
707,23,0,Non-Minority,Medium,Female,6,6,0
708,54,0,Non-Minority,High,Female,28,9,1
709,35,0,Non-Minority,Medium,Female,8,7,1
711,24,0,Non-Minority,High,Male,6,9,1
712,54,1,Non-Minority,Low,Female,2,1,0
713,58,1,Non-Minority,Medium,Female,12,6,1
715,23,1,Minority,Medium,Female,1,5,1
716,35,1,Non-Minority,Low,Female,1,2,0
718,20,0,Non-Minority,High,Female,1,10,1
720,51,0,Minority,Low,Female,0,1,0
722,37,0,Minority,Low,Female,3,2,0
724,47,0,Minority,Low,Female,3,1,0
726,34,0,Minority,Medium,Female,4,6,1
727,56,0,Minority,Low,Female,0,1,0
729,59,0,Minority,Low,Female,1,1,1
737,24,0,Minority,High,Male,6,9,1
738,21,1,Minority,High,Female,2,9,1
743,26,0,Non-Minority,Low,Female,1,2,0
745,30,1,Minority,Low,Male,0,2,0
752,29,1,Minority,Low,Female,0,4,1
753,54,1,Non-Minority,Low,Female,0,1,0
754,29,0,Non-Minority,Low,Female,4,4,1
756,59,1,Minority,Low,Male,0,1,0
757,38,0,Non-Minority,Medium,Female,0,5,0
762,27,1,Minority,Low,Female,1,3,1
765,66,0,Non-Minority,Medium,Female,33,6,1
769,27,0,Minority,Medium,Female,2,5,0
770,51,1,Minority,Low,Female,1,1,0
771,35,0,Minority,Low,Female,1,2,0
775,52,1,Minority,Low,Female,4,3,0
785,26,1,Non-Minority,Low,Male,0,2,0
786,48,1,Minority,Low,Male,0,1,0
789,33,1,Non-Minority,Low,Female,2,3,0
790,34,0,Non-Minority,Low,Male,6,4,0
793,59,0,Non-Minority,Medium,Female,10,7,1
794,29,0,Non-Minority,Medium,Female,5,5,1
796,24,0,Minority,Low,Female,0,2,0
798,48,0,Minority,Medium,Female,1,7,1
803,52,1,Non-Minority,Medium,Female,4,5,0
804,20,0,Non-Minority,Low,Female,0,4,1
805,25,0,Minority,Low,Female,4,4,1
806,24,0,Minority,Low,Female,0,2,0
807,23,1,Minority,High,Female,0,9,0
808,27,0,Minority,Low,Female,6,4,0
810,25,1,Non-Minority,Low,Female,1,3,1
812,31,0,Non-Minority,Low,Female,0,2,0
813,25,0,Non-Minority,Low,Female,6,4,1
814,32,0,Minority,Low,Female,1,1,1
815,21,0,Minority,Low,Female,0,3,1
818,25,0,Minority,Low,Female,0,3,0
821,35,0,Non-Minority,Medium,Female,0,7,0
823,42,0,Non-Minority,Medium,Female,14,7,1
825,24,1,Minority,High,Female,9,10,1
831,47,1,Minority,Low,Female,1,1,0
835,27,0,Non-Minority,High,Female,5,9,1
837,46,0,Minority,Medium,Female,2,6,1
838,44,1,Non-Minority,Low,Female,1,3,0
841,23,0,Minority,Low,Female,2,2,0
843,42,0,Non-Minority,Medium,Female,8,5,0
844,58,0,Non-Minority,Medium,Female,6,6,0
847,26,0,Non-Minority,Medium,Female,3,6,0
849,39,0,Non-Minority,Low,Female,3,3,1
850,21,0,Non-Minority,Medium,Female,3,5,1
851,63,1,Minority,Low,Female,1,1,0
852,22,0,Non-Minority,Medium,Female,3,7,1
853,50,1,Non-Minority,Low,Female,3,3,0
855,38,0,Non-Minority,Low,Female,0,1,0
856,41,0,Minority,Medium,Female,1,6,0
857,28,0,Non-Minority,High,Female,16,8,1
858,30,1,Non-Minority,Low,Male,0,3,0
859,23,0,Non-Minority,Medium,Female,1,5,0
861,25,0,Minority,Low,Female,2,4,1
863,40,0,Minority,Low,Female,5,4,0
867,27,1,Non-Minority,Low,Female,5,4,1
869,44,1,Minority,Low,Female,11,3,0
870,35,0,Non-Minority,Low,Male,6,2,1
871,42,1,Minority,Low,Female,0,1,0
872,38,0,Non-Minority,Medium,Female,15,7,0
875,25,1,Non-Minority,Low,Male,0,3,0
881,49,1,Minority,Low,Male,2,1,1
882,50,0,Minority,Low,Female,5,1,1
884,66,1,Minority,Low,Female,0,1,1
886,46,1,Minority,Low,Male,0,1,0
887,30,0,Non-Minority,Medium,Female,5,6,1
888,22,1,Minority,Low,Male,0,3,0
889,23,1,Minority,Low,Female,1,4,0
899,25,1,Non-Minority,Low,Female,0,3,0
900,21,0,Minority,Medium,Male,0,7,0
901,27,1,Non-Minority,Low,Female,0,2,0
906,24,0,Minority,Medium,Male,0,5,0
909,20,0,Non-Minority,Low,Female,1,3,0
913,31,1,Non-Minority,High,Female,3,8,1
914,27,1,Non-Minority,Medium,Female,3,7,1
916,40,0,Non-Minority,Low,Female,0,2,0
917,22,0,Non-Minority,High,Female,11,10,1
918,38,0,Non-Minority,Low,Male,1,1,0
921,30,1,Non-Minority,Medium,Female,1,7,0
922,27,0,Minority,Medium,Female,6,6,1
924,59,1,Minority,Low,Male,0,1,0
925,37,1,Minority,Low,Female,2,1,0
926,28,1,Non-Minority,Medium,Female,5,7,1
927,38,0,Minority,Low,Female,0,1,0
930,22,0,Non-Minority,High,Female,0,8,1
934,25,0,Non-Minority,Medium,Female,4,5,1
935,51,1,Minority,Low,Female,0,1,0
943,29,1,Minority,Low,Female,2,2,1
944,28,0,Non-Minority,Low,Female,10,3,0
946,55,1,Non-Minority,Low,Female,9,3,1
947,23,0,Minority,High,Male,3,10,0
948,22,1,Non-Minority,Medium,Male,0,5,0
949,19,0,Minority,High,Male,2,10,1
951,31,1,Non-Minority,Low,Female,1,1,0
953,29,1,Non-Minority,Low,Female,0,1,0
955,61,0,Non-Minority,Medium,Female,15,6,1
959,20,0,Non-Minority,High,Female,4,9,1
960,26,0,Minority,Medium,Female,3,7,1
962,27,1,Minority,High,Female,5,9,0
963,25,0,Minority,Medium,Female,1,5,0
964,23,0,Minority,Medium,Female,3,5,1
965,38,0,Non-Minority,Low,Female,0,1,0
967,27,0,Non-Minority,High,Female,18,9,1
968,35,0,Minority,Low,Male,0,3,1
971,58,0,Non-Minority,Low,Male,4,2,1
973,57,1,Minority,Low,Male,0,4,1
975,21,0,Non-Minority,Low,Female,0,3,0
977,22,0,Non-Minority,High,Male,0,8,0
978,30,0,Non-Minority,Low,Female,0,2,0
987,30,0,Non-Minority,High,Female,8,8,1
988,31,0,Non-Minority,Medium,Male,10,6,0
990,45,0,Minority,Medium,Male,1,6,0
993,39,0,Minority,Low,Female,2,2,1
995,31,0,Non-Minority,High,Female,0,8,1
996,22,0,Non-Minority,Low,Female,1,4,1
998,27,0,Non-Minority,Medium,Female,13,7,1
999,38,0,Minority,Low,Female,1,1,1
1000,31,0,Non-Minority,High,Female,23,10,1
1001,47,0,Non-Minority,High,Female,20,9,0
1002,22,0,Non-Minority,Medium,Female,3,7,0
1003,35,1,Non-Minority,High,Female,1,9,1
1005,65,1,Non-Minority,Low,Female,2,2,1
1006,35,1,Non-Minority,Low,Female,0,4,0
1007,33,0,Non-Minority,Low,Male,0,3,0
1008,53,1,Minority,Low,Female,1,1,0
1014,21,0,Non-Minority,Medium,Female,0,5,0
1015,37,0,Non-Minority,Low,Female,11,4,0
1022,31,1,Non-Minority,Low,Male,0,1,0
1023,59,0,Minority,Low,Male,2,3,0
1024,27,1,Non-Minority,Low,Female,0,2,0
1025,36,1,Non-Minority,Medium,Female,0,7,1
1026,46,0,Non-Minority,High,Female,17,9,1
1027,22,0,Non-Minority,High,Female,3,9,0
1030,28,1,Minority,Low,Male,0,2,0
1031,34,0,Minority,High,Male,15,9,1
1034,23,1,Non-Minority,High,Female,2,10,1
1036,27,0,Non-Minority,Low,Female,3,4,0
1038,48,0,Minority,Low,Female,3,1,1
1043,31,0,Non-Minority,Medium,Female,5,7,0
1044,36,1,Non-Minority,Medium,Female,4,5,0
1048,44,0,Non-Minority,High,Female,14,8,1
1049,53,0,Minority,Low,Female,2,1,0
1051,33,1,Non-Minority,Low,Female,3,2,1
1056,47,0,Minority,Medium,Female,2,5,1
1057,57,0,Non-Minority,Medium,Female,20,7,1
1058,28,1,Non-Minority,Low,Female,2,4,0
1059,24,1,Non-Minority,Medium,Female,1,6,0
1060,44,0,Non-Minority,Low,Female,1,1,0
1061,46,0,Non-Minority,Low,Female,0,1,0
1062,37,0,Non-Minority,Low,Female,6,3,0
1063,26,1,Non-Minority,Medium,Female,10,6,1
1065,27,0,Non-Minority,High,Female,10,8,1
1066,40,0,Minority,Low,Female,1,2,0
1068,60,0,Minority,Low,Male,9,3,1
1069,53,0,Minority,Low,Female,1,1,0
1072,28,0,Non-Minority,Low,Female,0,1,0
1076,46,0,Minority,High,Male,2,8,0
1077,23,0,Non-Minority,Medium,Female,0,5,1
1082,50,0,Non-Minority,High,Female,18,8,1
1084,45,1,Non-Minority,Low,Female,0,1,0
1086,22,0,Non-Minority,Medium,Female,1,5,0
1087,26,0,Minority,Low,Female,1,2,1
1088,62,0,Minority,Low,Female,0,1,0
1089,34,1,Minority,Low,Female,0,1,1
1093,21,1,Minority,Low,Female,0,2,0
1094,25,0,Minority,Low,Female,0,2,1
1096,68,1,Minority,Low,Female,0,1,0
1099,21,0,Minority,Low,Female,1,3,0
1103,22,0,Non-Minority,High,Female,0,8,0
1106,42,0,Minority,Low,Female,1,1,0
1107,22,0,Minority,Low,Female,1,4,1
1109,45,0,Non-Minority,Low,Female,0,4,1
1110,36,0,Non-Minority,High,Male,4,10,1
1111,48,0,Non-Minority,Medium,Female,2,6,0
1119,23,0,Non-Minority,High,Female,6,9,1
1120,24,0,Non-Minority,High,Female,0,8,0
1121,29,0,Non-Minority,Low,Female,0,2,0
1122,24,0,Non-Minority,Low,Female,0,3,0
1123,50,0,Non-Minority,High,Female,11,9,0
1125,34,0,Non-Minority,Medium,Female,10,7,1
1127,23,0,Non-Minority,Low,Female,0,2,0
1128,22,1,Minority,Medium,Male,0,5,0
1130,30,0,Minority,Medium,Female,22,5,1
1131,21,0,Non-Minority,High,Female,0,10,1
1132,53,0,Minority,Low,Male,0,1,0
1136,25,1,Non-Minority,Medium,Female,7,5,1
1138,25,1,Non-Minority,High,Male,1,9,0
1140,71,0,Non-Minority,Low,Female,8,1,0
1141,39,1,Non-Minority,High,Female,10,9,0
1142,37,0,Non-Minority,Medium,Male,0,5,0
1143,20,0,Non-Minority,Medium,Female,0,5,1
1144,29,0,Non-Minority,Medium,Male,3,5,0
1145,22,0,Non-Minority,Medium,Female,2,5,1
1146,26,0,Non-Minority,Medium,Female,4,7,1
1150,47,0,Non-Minority,High,Male,19,10,1
1153,20,0,Minority,High,Male,1,8,1
1156,23,0,Non-Minority,Low,Male,0,2,0
1159,53,0,Non-Minority,Low,Male,0,1,0
1160,23,0,Non-Minority,Medium,Male,0,7,0
1162,26,0,Non-Minority,Medium,Female,5,7,1
1163,25,0,Non-Minority,Medium,Female,6,6,0
1166,27,0,Non-Minority,High,Female,4,9,1
1169,29,1,Non-Minority,Low,Female,1,4,0
1172,31,1,Non-Minority,Low,Female,0,2,0
1173,41,0,Non-Minority,Medium,Female,8,6,1
1176,25,1,Minority,Low,Female,0,2,0
1177,47,1,Minority,Low,Female,0,1,0
1179,37,0,Non-Minority,Low,Female,4,2,0
1181,35,0,Non-Minority,Medium,Male,4,5,0
1186,24,1,Minority,Low,Female,1,4,1
1187,21,0,Minority,High,Female,2,9,1
1191,22,0,Minority,Low,Female,0,4,1
1192,57,0,Non-Minority,Medium,Female,11,6,0
1193,48,0,Minority,Medium,Female,0,7,0
1195,37,0,Non-Minority,Medium,Male,3,7,0
1196,31,1,Minority,Low,Female,0,1,0
1197,22,0,Non-Minority,High,Female,1,9,1
1198,31,1,Minority,Low,Female,2,3,0
1200,24,0,Non-Minority,Medium,Female,0,5,1
1202,32,0,Non-Minority,High,Female,22,9,1
1205,63,1,Non-Minority,Low,Female,0,1,0
1209,20,0,Minority,Low,Female,0,4,0
1212,24,1,Non-Minority,Medium,Male,1,5,1
1213,36,1,Non-Minority,Low,Male,1,2,0
1216,28,0,Minority,Medium,Female,2,6,0
1217,36,0,Non-Minority,Low,Female,3,2,1
1219,33,1,Non-Minority,Low,Male,0,2,0
1220,39,0,Non-Minority,Low,Female,0,3,0
1222,30,0,Non-Minority,High,Female,17,10,1
1225,24,0,Non-Minority,Low,Female,1,1,1
1229,35,0,Non-Minority,Medium,Female,7,6,0
1230,24,0,Non-Minority,Low,Female,0,3,0
1233,26,0,Minority,Low,Female,8,4,0
